transfer_created_by_customer_time,transfer_received_by_tw_time,transfer_converted_time,transfer_sent_out_by_tw_time,transfer_delivered_to_customer_time,payment_method
1/16/2015 16:13:38,1/20/2015 12:43:38,1/20/2015 13:07:55,1/20/2015 17:42:04,1/20/2015 17:57:04,A
3/25/2015 10:19:47,3/26/2015 11:52:35,3/26/2015 12:04:05,3/26/2015 12:18:56,3/26/2015 12:33:56,A
4/16/2015 11:02:56,4/17/2015 12:21:53,4/17/2015 13:14:04,4/17/2015 13:31:50,4/17/2015 13:46:50,A
10/28/2015 16:57:09,10/28/2015 16:57:28,10/28/2015 17:08:16,10/28/2015 17:31:03,10/28/2015 17:46:03,B
5/26/2015 11:39:07,5/27/2015 11:45:20,5/27/2015 12:07:23,5/27/2015 13:47:18,5/27/2015 14:02:18,A
10/13/2015 21:40:36,10/15/2015 11:40:03,10/15/2015 11:45:43,10/15/2015 19:02:02,10/15/2015 19:17:02,A
10/13/2015 18:27:01,10/15/2015 11:40:01,10/15/2015 12:06:08,10/15/2015 12:16:04,10/15/2015 12:31:04,A
3/27/2015 9:48:45,3/31/2015 9:08:39,3/31/2015 9:22:32,3/31/2015 9:50:55,3/31/2015 10:05:55,A
6/9/2015 20:18:43,6/11/2015 12:50:05,6/11/2015 12:58:59,6/11/2015 13:07:01,6/11/2015 13:22:01,A
8/3/2015 17:28:42,8/5/2015 13:00:04,8/5/2015 13:27:05,8/5/2015 13:34:02,8/5/2015 13:49:02,A
12/8/2015 22:30:26,12/10/2015 12:38:07,12/10/2015 12:54:01,12/10/2015 13:01:00,12/10/2015 13:16:00,A
5/27/2015 7:19:38,5/28/2015 12:35:11,5/28/2015 12:39:22,5/28/2015 12:48:01,5/28/2015 13:03:01,A
9/1/2015 10:50:06,9/2/2015 13:20:02,9/2/2015 13:41:21,9/2/2015 13:49:06,9/2/2015 14:04:06,A
11/18/2015 23:12:56,11/26/2015 12:50:05,11/26/2015 12:59:29,11/26/2015 13:27:00,11/26/2015 13:42:00,A
9/9/2015 14:59:27,9/11/2015 12:17:30,9/11/2015 19:49:20,9/11/2015 20:07:00,9/11/2015 20:22:00,A
6/30/2015 18:06:46,7/2/2015 13:05:04,7/2/2015 13:34:37,7/2/2015 13:43:03,7/2/2015 13:58:03,A
3/12/2015 14:57:07,3/16/2015 12:00:48,3/16/2015 12:13:38,3/16/2015 12:33:43,3/16/2015 12:48:43,A
2/18/2015 8:44:25,2/20/2015 10:45:13,2/20/2015 10:57:14,2/20/2015 11:38:37,2/20/2015 11:53:37,A
6/14/2015 13:04:41,6/16/2015 14:09:30,6/16/2015 14:45:18,6/16/2015 14:53:04,6/16/2015 15:08:04,A
12/29/2015 18:13:01,12/31/2015 10:39:01,12/31/2015 10:47:35,12/31/2015 11:02:00,12/31/2015 11:17:00,A
1/15/2015 13:34:10,1/19/2015 11:49:48,1/19/2015 11:51:22,1/19/2015 12:11:44,1/19/2015 12:26:44,A
8/4/2015 10:10:28,8/6/2015 12:51:43,8/6/2015 13:14:40,8/6/2015 13:39:02,8/6/2015 13:54:02,A
10/22/2015 23:51:39,10/22/2015 23:53:10,10/23/2015 0:20:40,10/23/2015 5:59:03,10/23/2015 6:14:03,B
11/4/2015 16:36:31,11/6/2015 10:50:01,11/6/2015 10:57:30,11/6/2015 11:04:02,11/6/2015 11:19:02,A
12/13/2015 12:05:12,12/15/2015 11:44:03,12/15/2015 11:48:00,12/15/2015 12:05:06,12/15/2015 12:20:06,A
9/15/2015 6:54:29,9/17/2015 12:12:04,9/17/2015 12:23:55,9/17/2015 12:35:10,9/17/2015 12:50:10,A
12/8/2015 12:40:35,12/10/2015 12:38:03,12/10/2015 12:54:01,12/10/2015 13:01:01,12/10/2015 13:16:01,A
6/24/2015 11:50:39,6/26/2015 13:55:20,6/26/2015 14:16:18,6/26/2015 14:29:03,6/26/2015 14:44:03,A
2/25/2015 20:18:02,2/27/2015 12:18:12,2/27/2015 12:36:12,2/27/2015 12:48:52,2/27/2015 13:03:52,A
8/30/2015 18:34:02,9/1/2015 12:38:46,9/1/2015 12:39:48,9/1/2015 13:13:05,9/1/2015 13:28:05,A
11/25/2015 19:27:05,11/27/2015 10:41:31,11/27/2015 11:04:31,11/27/2015 11:14:24,11/27/2015 11:29:24,A
7/6/2015 10:50:46,7/8/2015 12:50:05,7/8/2015 13:08:11,7/8/2015 13:14:05,7/8/2015 13:29:05,A
12/17/2015 21:34:25,12/21/2015 10:55:02,12/21/2015 11:06:45,12/21/2015 11:16:01,12/21/2015 11:31:01,A
3/13/2015 12:53:55,3/13/2015 12:53:56,3/13/2015 12:53:56,3/13/2015 12:53:57,3/13/2015 13:08:57,C
3/26/2015 13:18:26,3/30/2015 11:17:48,3/30/2015 11:21:03,3/30/2015 12:47:39,3/30/2015 13:02:39,A
6/21/2015 17:15:26,6/23/2015 12:45:06,6/23/2015 13:38:31,6/23/2015 13:48:01,6/23/2015 14:03:01,A
12/24/2015 10:14:33,12/29/2015 13:45:09,12/29/2015 13:52:59,12/29/2015 14:01:04,12/29/2015 14:16:04,A
3/7/2015 21:26:36,3/16/2015 14:00:14,3/16/2015 14:39:05,3/16/2015 14:44:45,3/16/2015 14:59:45,A
1/23/2015 18:11:15,1/27/2015 11:21:08,1/27/2015 12:01:05,1/27/2015 12:17:02,1/27/2015 12:32:02,A
3/19/2015 14:26:59,3/23/2015 11:38:37,3/23/2015 12:08:17,3/23/2015 12:21:09,3/23/2015 12:36:09,A
3/2/2015 14:13:33,3/5/2015 16:00:14,3/5/2015 16:39:25,3/5/2015 16:50:13,3/5/2015 17:05:13,A
5/17/2015 18:19:45,5/19/2015 12:56:23,5/19/2015 13:50:17,5/19/2015 14:05:03,5/19/2015 14:20:03,A
3/1/2015 14:50:40,3/3/2015 12:35:21,3/3/2015 12:50:44,3/3/2015 13:01:09,3/3/2015 13:16:09,A
10/13/2015 16:13:50,10/15/2015 11:58:54,10/15/2015 12:06:08,10/15/2015 12:16:05,10/15/2015 12:31:05,A
11/25/2015 12:14:19,11/27/2015 10:39:19,11/27/2015 10:55:34,11/27/2015 11:14:00,11/27/2015 11:29:00,A
3/9/2015 22:00:28,3/11/2015 12:44:15,3/11/2015 13:07:34,3/11/2015 13:20:32,3/11/2015 13:35:32,A
9/28/2015 15:12:02,9/30/2015 16:50:11,9/30/2015 16:56:58,9/30/2015 17:09:07,9/30/2015 17:24:07,A
4/20/2015 21:24:28,4/22/2015 12:03:42,4/22/2015 12:05:16,4/22/2015 12:24:08,4/22/2015 12:39:08,A
5/28/2015 15:40:05,6/2/2015 12:50:17,6/2/2015 13:34:44,6/2/2015 13:57:02,6/2/2015 14:12:02,A
11/6/2015 20:57:30,11/10/2015 11:54:51,11/10/2015 11:56:48,11/10/2015 12:18:01,11/10/2015 12:33:01,A
7/7/2015 5:21:59,7/9/2015 12:49:39,7/9/2015 13:03:22,7/9/2015 13:17:05,7/9/2015 13:32:05,A
9/5/2015 11:30:13,9/8/2015 11:45:06,9/8/2015 11:53:36,9/8/2015 12:03:12,9/8/2015 12:18:12,A
7/28/2015 23:58:28,7/30/2015 12:50:07,7/30/2015 13:11:30,7/30/2015 13:17:02,7/30/2015 13:32:02,A
2/1/2015 16:21:34,2/3/2015 11:46:22,2/3/2015 12:53:11,2/3/2015 13:05:41,2/3/2015 13:20:41,A
8/13/2015 16:18:46,8/17/2015 12:12:41,8/17/2015 12:39:27,8/17/2015 12:48:15,8/17/2015 13:03:15,A
2/19/2015 20:08:53,2/23/2015 10:26:50,2/23/2015 11:35:58,2/23/2015 11:48:27,2/23/2015 12:03:27,A
2/5/2015 12:41:23,2/9/2015 12:40:39,2/9/2015 13:10:26,2/9/2015 13:26:08,2/9/2015 13:41:08,A
10/28/2015 19:34:44,10/30/2015 13:45:01,10/30/2015 13:55:09,10/30/2015 14:16:02,10/30/2015 14:31:02,A
11/5/2015 11:19:06,11/6/2015 10:55:02,11/6/2015 10:57:30,11/6/2015 11:04:02,11/6/2015 11:19:02,A
3/25/2015 9:00:00,3/27/2015 12:14:57,3/27/2015 13:09:13,3/27/2015 13:29:44,3/27/2015 13:44:44,A
8/18/2015 21:36:00,8/20/2015 13:02:52,8/20/2015 13:13:40,8/20/2015 13:40:02,8/20/2015 13:55:02,A
11/13/2015 10:50:25,11/16/2015 14:03:31,11/16/2015 14:32:32,11/16/2015 14:39:02,11/16/2015 14:54:02,A
2/2/2015 9:25:43,2/3/2015 11:47:17,2/3/2015 12:53:13,2/3/2015 13:05:41,2/3/2015 13:20:41,A
9/28/2015 17:05:54,9/30/2015 16:55:54,9/30/2015 16:56:58,9/30/2015 17:09:07,9/30/2015 17:24:07,A
11/11/2015 12:48:02,11/13/2015 12:46:31,11/13/2015 13:09:29,11/13/2015 13:24:00,11/13/2015 13:39:00,A
10/7/2015 4:43:26,10/8/2015 11:55:02,10/8/2015 12:12:16,10/8/2015 12:30:28,10/8/2015 12:45:28,A
2/6/2015 15:33:30,2/10/2015 12:16:53,2/10/2015 12:24:08,2/10/2015 12:37:06,2/10/2015 12:52:06,A
4/7/2015 11:51:45,4/9/2015 12:47:56,4/9/2015 13:06:16,4/9/2015 13:32:13,4/9/2015 13:47:13,A
5/22/2015 12:38:24,5/27/2015 15:45:00,5/27/2015 16:44:07,5/27/2015 16:54:04,5/27/2015 17:09:04,A
7/15/2015 13:38:37,7/17/2015 12:07:39,7/17/2015 12:29:20,7/17/2015 12:46:04,7/17/2015 13:01:04,A
3/22/2015 20:47:20,3/24/2015 9:50:05,3/24/2015 9:57:29,3/24/2015 10:12:40,3/24/2015 10:27:40,A
6/23/2015 20:13:47,6/25/2015 12:50:01,6/25/2015 12:58:50,6/25/2015 13:10:01,6/25/2015 13:25:01,A
7/3/2015 23:50:40,7/7/2015 12:46:46,7/9/2015 9:11:01,7/9/2015 9:27:01,7/9/2015 9:42:01,A
11/10/2015 15:40:48,11/10/2015 15:41:29,11/10/2015 15:41:32,11/10/2015 15:59:00,11/10/2015 16:14:00,B
12/2/2015 10:29:37,12/3/2015 12:14:02,12/3/2015 12:27:25,12/3/2015 12:38:04,12/3/2015 12:53:04,A
1/12/2015 10:59:28,1/20/2015 12:45:24,1/20/2015 13:09:57,1/20/2015 17:24:11,1/20/2015 17:39:11,A
12/2/2015 19:04:36,12/4/2015 11:42:04,12/4/2015 11:44:36,12/4/2015 11:56:05,12/4/2015 12:11:05,A
11/26/2015 20:19:54,11/30/2015 11:52:05,11/30/2015 12:10:39,11/30/2015 12:26:05,11/30/2015 12:41:05,A
5/14/2015 16:20:38,5/18/2015 11:17:41,5/18/2015 12:24:55,5/18/2015 12:36:00,5/18/2015 12:51:00,A
11/29/2015 18:01:44,12/1/2015 11:48:00,12/1/2015 12:00:51,12/1/2015 12:13:08,12/1/2015 12:28:08,A
10/18/2015 21:04:23,10/20/2015 13:50:00,10/20/2015 14:01:01,10/20/2015 14:09:02,10/20/2015 14:24:02,A
4/21/2015 14:01:06,4/27/2015 13:35:21,4/27/2015 13:39:21,4/27/2015 15:09:57,4/27/2015 15:24:57,A
9/1/2015 21:20:36,9/3/2015 13:35:04,9/3/2015 21:13:30,9/3/2015 21:43:06,9/3/2015 21:58:06,A
12/29/2015 19:45:18,12/31/2015 10:39:00,12/31/2015 10:49:20,12/31/2015 10:55:00,12/31/2015 11:10:00,A
10/13/2015 7:54:04,10/14/2015 12:50:02,10/14/2015 13:04:11,10/14/2015 13:27:10,10/14/2015 13:42:10,A
12/22/2015 10:53:33,12/24/2015 10:10:01,12/24/2015 10:47:45,12/24/2015 10:56:00,12/24/2015 11:11:00,A
12/9/2015 14:43:34,12/9/2015 14:44:47,12/9/2015 14:47:44,12/9/2015 14:57:47,12/9/2015 15:12:47,B
7/27/2015 10:51:34,7/29/2015 12:08:38,7/29/2015 12:41:57,7/29/2015 12:50:11,7/29/2015 13:05:11,A
11/21/2015 12:53:21,11/24/2015 11:50:07,11/24/2015 11:55:28,11/24/2015 12:15:00,11/24/2015 12:30:00,A
3/1/2015 14:02:00,3/3/2015 12:35:51,3/3/2015 12:50:45,3/3/2015 13:01:05,3/3/2015 13:16:05,A
12/8/2015 9:49:59,12/11/2015 12:44:29,12/11/2015 12:50:35,12/11/2015 13:16:03,12/11/2015 13:31:03,A
10/22/2015 13:12:14,10/23/2015 11:50:00,10/23/2015 11:54:38,10/23/2015 11:59:01,10/23/2015 12:14:01,A
9/4/2015 8:27:48,9/8/2015 12:06:51,9/8/2015 12:08:06,9/8/2015 12:41:03,9/8/2015 12:56:03,A
9/25/2015 12:51:25,9/29/2015 13:02:36,9/29/2015 13:07:10,9/29/2015 13:20:14,9/29/2015 13:35:14,A
5/22/2015 10:36:59,5/27/2015 11:45:11,5/27/2015 12:07:21,5/27/2015 13:47:00,5/27/2015 14:02:00,A
2/25/2015 16:49:56,2/27/2015 12:16:14,2/27/2015 12:36:10,2/27/2015 12:49:20,2/27/2015 13:04:20,A
1/27/2015 16:52:12,2/10/2015 12:18:58,2/10/2015 12:24:10,2/10/2015 12:37:12,2/10/2015 12:52:12,A
11/10/2015 12:34:39,11/12/2015 13:14:11,11/12/2015 13:31:54,11/12/2015 13:50:00,11/12/2015 14:05:00,A
1/27/2015 10:52:01,1/27/2015 10:52:02,1/27/2015 10:52:03,1/27/2015 10:52:04,1/27/2015 11:07:04,C
12/8/2015 9:41:31,12/10/2015 12:38:00,12/10/2015 12:54:01,12/10/2015 13:01:01,12/10/2015 13:16:01,A
1/6/2015 6:23:37,1/8/2015 12:40:51,1/8/2015 12:54:59,1/8/2015 13:12:16,1/8/2015 13:27:16,A
12/10/2015 8:50:21,12/11/2015 11:38:04,12/11/2015 12:02:54,12/11/2015 12:18:03,12/11/2015 12:33:03,A
10/26/2015 9:52:09,10/28/2015 11:45:01,10/28/2015 12:04:49,10/28/2015 12:15:49,10/28/2015 12:30:49,A
11/11/2015 13:47:43,11/13/2015 12:46:32,11/13/2015 13:09:29,11/13/2015 13:24:00,11/13/2015 13:39:00,A
9/20/2015 13:09:12,9/22/2015 11:49:54,9/24/2015 11:41:54,9/24/2015 11:49:02,9/24/2015 12:04:02,A
4/13/2015 18:42:59,4/17/2015 12:22:01,4/17/2015 13:14:04,4/17/2015 13:31:09,4/17/2015 13:46:09,A
9/23/2015 14:18:19,9/25/2015 11:45:05,9/25/2015 11:54:42,9/25/2015 12:11:03,9/25/2015 12:26:03,A
12/28/2015 18:36:35,12/30/2015 11:50:04,12/30/2015 12:06:51,12/30/2015 12:23:01,12/30/2015 12:38:01,A
7/29/2015 17:09:33,7/31/2015 15:29:01,8/3/2015 9:19:39,8/3/2015 9:51:03,8/3/2015 10:06:03,A
4/27/2015 12:56:03,4/29/2015 10:56:55,4/29/2015 16:56:58,4/29/2015 17:09:19,4/29/2015 17:24:19,A
5/12/2015 18:16:57,5/14/2015 12:40:11,5/14/2015 12:41:47,5/14/2015 12:52:02,5/14/2015 13:07:02,A
10/19/2015 21:59:17,10/22/2015 16:55:00,10/22/2015 16:56:39,10/22/2015 17:05:03,10/22/2015 17:20:03,A
1/5/2015 13:33:44,1/6/2015 11:16:08,1/6/2015 11:25:46,1/6/2015 11:33:00,1/6/2015 11:48:00,A
11/15/2015 13:30:10,11/17/2015 13:50:01,11/17/2015 15:35:27,11/17/2015 15:47:16,11/17/2015 16:02:16,A
2/24/2015 11:47:24,2/24/2015 11:47:25,2/24/2015 11:47:27,2/24/2015 11:47:28,2/24/2015 12:02:28,C
2/4/2015 13:53:11,2/4/2015 13:53:13,2/4/2015 13:53:13,2/4/2015 13:53:13,2/4/2015 14:08:13,C
9/21/2015 15:08:28,9/23/2015 13:05:04,9/23/2015 13:20:19,9/23/2015 13:28:19,9/23/2015 13:43:19,A
1/18/2015 19:18:26,1/20/2015 12:44:11,1/20/2015 13:09:56,1/20/2015 17:42:03,1/20/2015 17:57:03,A
9/14/2015 15:06:41,9/16/2015 14:03:57,9/16/2015 14:21:56,9/16/2015 14:41:14,9/16/2015 14:56:14,A
1/16/2015 8:52:42,1/19/2015 11:54:31,1/19/2015 12:53:58,1/19/2015 13:08:03,1/19/2015 13:23:03,A
8/20/2015 21:34:05,8/25/2015 18:50:00,8/25/2015 18:54:01,8/25/2015 19:04:01,8/25/2015 19:19:01,A
2/5/2015 12:12:25,2/10/2015 12:18:50,2/10/2015 12:24:10,2/10/2015 12:37:13,2/10/2015 12:52:13,A
12/23/2015 18:50:11,12/29/2015 13:38:02,12/29/2015 13:52:59,12/29/2015 14:01:04,12/29/2015 14:16:04,A
4/24/2015 9:14:56,4/27/2015 12:00:39,4/27/2015 12:41:31,4/27/2015 14:21:00,4/27/2015 14:36:00,A
6/25/2015 12:54:35,6/29/2015 13:02:15,6/29/2015 13:04:56,6/29/2015 13:17:00,6/29/2015 13:32:00,A
10/21/2015 10:01:30,10/23/2015 11:53:45,10/24/2015 13:42:21,10/24/2015 13:51:00,10/24/2015 14:06:00,A
9/6/2015 9:32:54,9/8/2015 12:10:07,9/8/2015 12:21:43,9/8/2015 12:41:13,9/8/2015 12:56:13,A
3/4/2015 10:31:18,3/6/2015 10:47:49,3/6/2015 11:08:38,3/6/2015 11:18:37,3/6/2015 11:33:37,A
4/7/2015 8:51:23,4/8/2015 11:04:58,4/8/2015 11:41:00,4/8/2015 11:53:38,4/8/2015 12:08:38,A
8/3/2015 21:16:35,8/5/2015 13:00:01,8/5/2015 13:27:05,8/5/2015 13:34:00,8/5/2015 13:49:00,A
4/7/2015 14:02:18,4/9/2015 12:48:08,4/9/2015 13:06:16,4/9/2015 13:32:15,4/9/2015 13:47:15,A
11/13/2015 8:10:53,11/17/2015 13:53:43,11/17/2015 15:35:27,11/17/2015 15:47:07,11/17/2015 16:02:07,A
10/18/2015 19:51:53,10/20/2015 13:50:01,10/20/2015 14:01:01,10/20/2015 14:09:01,10/20/2015 14:24:01,A
9/26/2015 10:31:06,9/29/2015 13:05:13,9/29/2015 13:07:10,9/29/2015 13:20:14,9/29/2015 13:35:14,A
11/2/2015 10:26:21,11/4/2015 12:51:20,11/4/2015 13:16:00,11/4/2015 13:37:00,11/4/2015 13:52:00,A
11/4/2015 8:46:27,11/12/2015 15:45:00,11/12/2015 15:48:13,11/12/2015 16:12:01,11/12/2015 16:27:01,A
1/20/2015 21:46:52,1/22/2015 12:52:40,1/22/2015 12:53:25,1/22/2015 13:08:06,1/22/2015 13:23:06,A
10/10/2015 17:11:47,10/13/2015 15:46:06,10/13/2015 15:49:25,10/13/2015 16:18:00,10/13/2015 16:33:00,C
10/2/2015 14:53:29,10/6/2015 12:24:52,10/6/2015 13:40:40,10/6/2015 13:51:01,10/6/2015 14:06:01,A
9/15/2015 20:21:59,9/21/2015 16:15:33,9/24/2015 11:41:54,9/24/2015 11:49:00,9/24/2015 12:04:00,A
12/4/2015 23:20:04,12/8/2015 11:38:07,12/8/2015 11:52:12,12/8/2015 12:04:03,12/8/2015 12:19:03,A
5/11/2015 8:18:20,5/13/2015 12:26:30,5/13/2015 12:59:08,5/13/2015 13:19:00,5/13/2015 13:34:00,A
10/16/2015 15:45:01,10/21/2015 17:50:58,10/21/2015 18:02:56,10/21/2015 18:24:00,10/21/2015 18:39:00,A
12/7/2015 6:19:55,12/9/2015 11:37:04,12/9/2015 11:51:11,12/9/2015 12:03:02,12/9/2015 12:18:02,A
9/3/2015 8:10:54,9/7/2015 11:00:13,9/7/2015 11:03:51,9/7/2015 12:13:29,9/7/2015 12:28:29,A
12/1/2015 10:34:29,12/1/2015 10:35:03,12/1/2015 10:41:17,12/1/2015 11:02:00,12/1/2015 11:17:00,B
11/27/2015 7:06:39,12/1/2015 11:48:10,12/1/2015 12:00:51,12/1/2015 12:13:03,12/1/2015 12:28:03,A
3/21/2015 15:59:17,3/25/2015 12:24:48,3/25/2015 12:55:17,3/25/2015 13:02:22,3/25/2015 13:17:22,A
4/8/2015 8:57:40,4/9/2015 12:49:06,4/9/2015 13:06:16,4/9/2015 13:32:24,4/9/2015 13:47:24,A
12/13/2015 23:01:18,12/16/2015 11:58:03,12/16/2015 12:07:41,12/16/2015 12:29:02,12/16/2015 12:44:02,A
6/1/2015 12:45:07,6/5/2015 17:45:00,6/5/2015 18:21:05,6/5/2015 18:29:01,6/5/2015 18:44:01,A
2/26/2015 22:17:45,3/2/2015 13:14:08,3/2/2015 13:22:01,3/2/2015 13:51:56,3/2/2015 14:06:56,A
8/13/2015 21:30:12,8/17/2015 11:45:06,8/17/2015 12:06:55,8/17/2015 12:19:00,8/17/2015 12:34:00,A
12/10/2015 14:22:01,12/14/2015 12:05:11,12/14/2015 12:23:35,12/14/2015 12:38:05,12/14/2015 12:53:05,A
9/29/2015 22:39:23,10/1/2015 14:00:00,10/1/2015 14:16:47,10/1/2015 14:35:06,10/1/2015 14:50:06,A
9/8/2015 6:25:04,9/10/2015 13:00:02,9/10/2015 13:00:54,9/10/2015 13:13:49,9/10/2015 13:28:49,A
1/20/2015 0:09:56,1/22/2015 12:51:36,1/22/2015 12:53:25,1/22/2015 13:08:05,1/22/2015 13:23:05,A
1/12/2015 15:22:34,1/14/2015 10:41:37,1/14/2015 11:46:12,1/14/2015 12:07:03,1/14/2015 12:22:03,A
8/17/2015 23:39:12,8/20/2015 12:50:04,8/20/2015 12:59:04,8/20/2015 13:07:01,8/20/2015 13:22:01,A
1/20/2015 22:28:44,1/22/2015 12:52:56,1/23/2015 7:42:27,1/23/2015 7:59:44,1/23/2015 8:14:44,A
6/22/2015 12:01:29,6/24/2015 11:45:02,6/24/2015 12:28:18,6/24/2015 12:39:00,6/24/2015 12:54:00,A
12/20/2015 17:33:27,12/22/2015 10:41:11,12/22/2015 11:11:05,12/22/2015 11:25:02,12/22/2015 11:40:02,A
7/2/2015 13:34:58,7/8/2015 11:50:00,7/8/2015 11:55:28,7/8/2015 12:28:01,7/8/2015 12:43:01,A
12/8/2015 9:08:59,12/10/2015 12:38:00,12/10/2015 12:54:01,12/10/2015 13:01:01,12/10/2015 13:16:01,A
12/18/2015 10:06:00,12/18/2015 10:08:10,12/18/2015 10:08:49,12/18/2015 10:36:02,12/18/2015 10:51:02,B
11/4/2015 12:45:13,11/4/2015 12:50:15,11/4/2015 13:16:00,11/4/2015 13:37:01,11/4/2015 13:52:01,B
10/1/2015 19:30:40,10/5/2015 12:50:02,10/5/2015 13:38:35,10/5/2015 13:49:08,10/5/2015 14:04:08,A
11/1/2015 16:31:04,11/1/2015 16:33:41,11/2/2015 4:12:42,11/2/2015 7:42:16,11/2/2015 7:57:16,B
6/9/2015 20:10:30,6/17/2015 12:45:03,6/20/2015 9:21:11,6/30/2015 9:18:00,6/30/2015 9:33:00,A
9/29/2015 16:08:34,10/1/2015 14:00:01,10/1/2015 14:16:47,10/1/2015 14:35:10,10/1/2015 14:50:10,A
8/27/2015 7:46:00,8/31/2015 13:35:04,8/31/2015 13:48:00,8/31/2015 13:59:04,8/31/2015 14:14:04,A
8/24/2015 12:05:41,8/27/2015 11:05:08,8/27/2015 11:44:34,8/27/2015 11:51:04,8/27/2015 12:06:04,A
12/21/2015 17:41:05,12/23/2015 11:47:42,12/23/2015 11:55:02,12/23/2015 12:04:03,12/23/2015 12:19:03,A
